Reported_Power_Median,Measured_Power_Median,Ratio_Median_Power,Enb_Config,Non_Enb_Config,Round,Total_Tx_Power,Negative_Power_Headroom_Percentage
-34.021,-101.62100000000001,67.60000000000001,2,17,4,-28.0,0.0
-27.781999999999996,-95.635,67.85300000000001,2,18,4,-20.0,0.0
-38.021,-105.645,67.624,2,19,4,-32.0,0.0
-28.031,-95.637,67.606,2,20,4,-19.0,0.0
-38.01,-105.72200000000001,67.71200000000002,2,21,4,-35.0,0.0
-24.021,-91.546,67.525,2,22,4,-18.0,0.0
-42.01,-109.557,67.547,2,23,4,-37.5,0.0
-24.021,-91.449,67.428,2,24,4,-18.0,0.0
-34.021,-101.618,67.597,2,25,4,-28.0,0.0
-28.031,-95.664,67.63300000000001,2,26,4,-19.0,0.0
-37.031,-104.70100000000001,67.67000000000002,2,27,4,-22.0,0.0
-32.062,-99.75299999999999,67.69099999999999,2,28,4,-15.0,0.0
-40.01,-107.756,67.74600000000001,2,29,4,-37.0,0.0
-28.031,-95.48299999999999,67.452,2,30,4,-19.0,0.0
-40.041,-107.637,67.596,2,31,4,-25.0,0.0
-27.061999999999998,-94.70299999999999,67.64099999999999,2,32,4,-9.0,0.0
-30.021,-94.191,64.17,4,1,1,-24.0,0.0
-10.021,-74.158,64.137,4,2,1,-4.0,0.0
-30.021,-94.2,64.179,4,3,1,-24.0,0.0
-8.021,-72.09100000000001,64.07000000000001,4,4,1,-2.0,0.0
-30.021,-94.18,64.159,4,5,1,-24.0,0.0
-9.021,-73.117,64.096,4,6,1,-3.0,0.0
-28.021,-92.20200000000001,64.18100000000001,4,7,1,-22.0,0.0
-8.021,-72.10600000000001,64.08500000000001,4,8,1,-2.0,0.0
-28.021,-92.182,64.161,4,9,1,-22.0,0.0
-8.021,-72.1,64.079,4,10,1,-2.0,0.0
-28.021,-92.167,64.146,4,11,1,-22.0,0.0
-8.021,-72.112,64.091,4,12,1,-2.0,0.0
-30.021,-94.212,64.191,4,13,1,-24.0,0.0
-8.021,-72.077,64.056,4,14,1,-2.0,0.0
-30.021,-94.193,64.172,4,15,1,-24.0,0.0
-9.021,-73.125,64.104,4,16,1,-3.0,0.0
-29.781999999999996,-93.581,63.79900000000001,4,17,1,-22.5,0.0
-8.031,-72.196,64.16499999999999,4,18,1,8.0,0.0
-28.021,-92.22,64.199,4,19,1,-22.0,0.0
-10.062000000000001,-74.22800000000001,64.16600000000001,4,20,1,8.0,0.0
-30.021,-94.29799999999999,64.27699999999999,4,21,1,-13.75,0.0
-8.021,-72.16,64.139,4,22,1,0.0,0.0
-28.01,-92.26100000000001,64.251,4,23,1,-16.0,0.0
-8.021,-72.09100000000001,64.07000000000001,4,24,1,-2.0,0.0
-28.031,-92.26,64.22900000000001,4,25,1,-12.0,0.0
-8.021,-72.117,64.096,4,26,1,-2.0,0.0
-30.061999999999998,-94.3,64.238,4,27,1,-12.0,0.0
-9.021,-73.175,64.154,4,28,1,-1.0,0.0
-28.021,-92.22,64.199,4,29,1,-19.0,0.0
-9.021,-73.22,64.199,4,30,1,7.0,0.0
-27.021,-91.21799999999999,64.19699999999999,4,31,1,-21.0,0.0
-8.01,-72.185,64.175,4,32,1,6.0,0.0
-28.021,-94.73,66.709,4,1,2,-22.0,0.0
-9.021,-75.722,66.701,4,2,2,-3.0,0.0
-29.021,-95.765,66.744,4,3,2,-23.0,0.0
-9.021,-75.691,66.67,4,4,2,-3.0,0.0
-28.021,-94.70200000000001,66.68100000000001,4,5,2,-22.0,0.0
-8.021,-74.709,66.688,4,6,2,-2.0,0.0
-26.021,-92.73899999999999,66.71799999999999,4,7,2,-20.0,0.0
-8.021,-74.673,66.652,4,8,2,-2.0,0.0
-29.021,-95.76,66.739,4,9,2,-23.0,0.0
-9.021,-75.709,66.688,4,10,2,-3.0,0.0
-26.021,-92.69,66.669,4,11,2,-20.0,0.0
-9.021,-75.718,66.697,4,12,2,-3.0,0.0
-29.021,-95.758,66.737,4,13,2,-23.0,0.0
-9.021,-75.69,66.669,4,14,2,-3.0,0.0
-27.021,-93.727,66.706,4,15,2,-21.0,0.0
