0.200,20.509,0.002,0.005,0.000,0.011,-17.42,0.03,0.10,0.00,0.21,
0.300,20.514,0.002,0.005,0.000,0.011,-26.07,0.03,0.10,0.00,0.21,
0.400,20.520,0.002,0.005,0.000,0.011,-34.70,0.03,0.10,0.00,0.22,
0.500,20.524,0.003,0.005,0.000,0.012,-43.34,0.03,0.10,0.00,0.22,
0.600,20.529,0.003,0.005,0.000,0.012,-51.97,0.03,0.11,0.00,0.22,
0.700,20.532,0.003,0.005,0.000,0.012,-60.59,0.03,0.11,0.00,0.22,
0.800,20.537,0.003,0.005,0.000,0.012,-69.22,0.03,0.11,0.00,0.22,
0.900,20.539,0.003,0.005,0.000,0.012,-77.84,0.03,0.11,0.00,0.23,
1.000,20.544,0.003,0.005,0.000,0.012,-86.47,0.03,0.11,0.00,0.23,
1.100,20.546,0.003,0.005,0.000,0.013,-95.06,0.09,0.11,0.00,0.28,
1.200,20.548,0.004,0.005,0.000,0.013,-103.71,0.09,0.11,0.00,0.29,
1.300,20.551,0.004,0.005,0.000,0.013,-112.32,0.09,0.11,0.00,0.29,
1.400,20.554,0.004,0.005,0.000,0.013,-120.93,0.10,0.11,0.00,0.30,
1.500,20.556,0.004,0.005,0.000,0.013,-129.56,0.10,0.11,0.00,0.31,
1.600,20.560,0.004,0.005,0.000,0.014,-138.18,0.11,0.12,0.00,0.31,
1.700,20.563,0.004,0.005,0.000,0.014,-146.79,0.11,0.12,0.00,0.32,
1.800,20.565,0.004,0.005,0.000,0.014,-155.40,0.11,0.12,0.00,0.33,
1.900,20.567,0.004,0.006,0.000,0.014,-164.02,0.12,0.12,0.00,0.33,
2.000,20.570,0.004,0.006,0.000,0.014,-172.62,0.12,0.12,0.00,0.34,
2.100,20.573,0.005,0.006,0.000,0.014,178.73,0.13,0.12,0.00,0.35,
2.200,20.574,0.005,0.006,0.000,0.015,170.14,0.13,0.12,0.00,0.36,
2.300,20.577,0.005,0.006,0.000,0.015,161.52,0.13,0.12,0.00,0.36,
2.400,20.579,0.005,0.006,0.000,0.015,152.90,0.14,0.12,0.00,0.37,
2.500,20.581,0.005,0.006,0.000,0.015,144.31,0.14,0.12,0.00,0.38,
2.600,20.582,0.005,0.006,0.000,0.015,135.67,0.15,0.13,0.00,0.39,
2.700,20.585,0.005,0.006,0.000,0.015,127.08,0.15,0.13,0.00,0.40,
2.800,20.587,0.005,0.006,0.000,0.015,118.47,0.16,0.13,0.00,0.40,
2.900,20.589,0.005,0.006,0.000,0.016,109.87,0.16,0.13,0.00,0.41,
3.000,20.589,0.005,0.006,0.000,0.016,101.24,0.17,0.13,0.00,0.42,
3.100,20.592,0.005,0.006,0.000,0.016,92.67,0.17,0.13,0.00,0.43,
3.200,20.593,0.005,0.006,0.000,0.016,84.06,0.17,0.13,0.00,0.44,
3.300,20.595,0.006,0.006,0.000,0.016,75.41,0.18,0.13,0.00,0.44,
3.400,20.595,0.006,0.006,0.000,0.016,66.81,0.18,0.13,0.00,0.45,
3.500,20.597,0.006,0.006,0.000,0.016,58.20,0.19,0.13,0.00,0.46,
3.600,20.599,0.006,0.006,0.000,0.017,49.59,0.19,0.14,0.00,0.47,
3.700,20.601,0.006,0.006,0.000,0.017,41.01,0.20,0.14,0.00,0.48,
3.800,20.602,0.006,0.006,0.000,0.017,32.38,0.20,0.14,0.00,0.49,
3.900,20.603,0.006,0.006,0.000,0.017,23.75,0.21,0.14,0.00,0.50,
4.000,20.605,0.006,0.006,0.000,0.017,15.18,0.21,0.14,0.00,0.50,
4.100,20.604,0.006,0.006,0.000,0.017,6.56,0.22,0.14,0.00,0.51,
4.200,20.606,0.006,0.006,0.000,0.017,-2.07,0.22,0.14,0.00,0.52,
4.300,20.608,0.006,0.006,0.000,0.018,-10.66,0.22,0.14,0.00,0.53,
4.400,20.608,0.006,0.006,0.000,0.018,-19.27,0.23,0.14,0.00,0.54,
4.500,20.609,0.006,0.006,0.000,0.018,-27.87,0.23,0.14,0.00,0.55,
4.600,20.610,0.006,0.006,0.000,0.018,-36.48,0.24,0.15,0.00,0.56,
4.700,20.611,0.006,0.006,0.000,0.018,-45.10,0.24,0.15,0.00,0.57,
4.800,20.612,0.007,0.006,0.000,0.018,-53.72,0.25,0.15,0.00,0.58,
4.900,20.617,0.007,0.006,0.000,0.018,-62.32,0.25,0.15,0.00,0.58,
5.000,20.620,0.007,0.006,0.000,0.018,-70.91,0.26,0.15,0.00,0.59,
5.100,20.620,0.007,0.006,0.000,0.019,-79.49,0.26,0.15,0.00,0.60,
5.200,20.619,0.007,0.006,0.000,0.019,-88.09,0.27,0.15,0.00,0.61,
5.300,20.617,0.007,0.006,0.000,0.019,-96.70,0.27,0.15,0.00,0.62,
5.400,20.617,0.007,0.006,0.000,0.019,-105.32,0.27,0.15,0.00,0.63,
5.500,20.618,0.007,0.006,0.000,0.019,-113.92,0.28,0.15,0.00,0.64,
5.600,20.619,0.007,0.007,0.000,0.019,-122.54,0.28,0.15,0.00,0.65,
5.700,20.620,0.007,0.007,0.000,0.019,-131.14,0.29,0.16,0.00,0.66,
5.800,20.620,0.007,0.007,0.000,0.019,-139.75,0.29,0.16,0.00,0.67,
5.900,20.620,0.007,0.007,0.000,0.020,-148.36,0.30,0.16,0.00,0.67,
6.000,20.621,0.007,0.007,0.000,0.020,-156.96,0.30,0.16,0.00,0.68,
6.100,20.621,0.007,0.007,0.000,0.020,-165.56,0.31,0.16,0.00,0.69,
6.200,20.623,0.007,0.007,0.000,0.020,-174.17,0.31,0.16,0.00,0.70,
