0.200,49.952,0.002,0.035,0.000,0.070,-16.30,0.03,0.10,0.00,0.21,
0.300,49.957,0.002,0.035,0.000,0.070,-24.20,0.03,0.10,0.00,0.21,
0.400,49.976,0.002,0.035,0.000,0.070,-32.45,0.03,0.10,0.00,0.22,
0.500,49.961,0.003,0.035,0.000,0.070,-40.41,0.03,0.10,0.00,0.22,
0.600,49.971,0.003,0.035,0.000,0.070,-48.42,0.03,0.11,0.00,0.22,
0.700,49.982,0.003,0.035,0.000,0.070,-56.42,0.03,0.11,0.00,0.22,
0.800,49.974,0.003,0.035,0.000,0.070,-64.66,0.03,0.11,0.00,0.22,
0.900,49.973,0.003,0.035,0.000,0.070,-72.59,0.03,0.11,0.00,0.23,
1.000,49.985,0.003,0.035,0.000,0.070,-80.68,0.03,0.11,0.00,0.23,
1.100,49.993,0.003,0.035,0.000,0.070,-88.51,0.09,0.11,0.00,0.28,
1.200,49.991,0.004,0.035,0.000,0.070,-96.59,0.09,0.11,0.00,0.29,
1.300,49.978,0.004,0.035,0.000,0.070,-104.53,0.09,0.11,0.00,0.29,
1.400,49.989,0.004,0.035,0.000,0.070,-112.73,0.10,0.11,0.00,0.30,
1.500,49.996,0.004,0.035,0.000,0.070,-120.71,0.10,0.11,0.00,0.31,
1.600,50.007,0.004,0.035,0.000,0.071,-128.69,0.11,0.12,0.00,0.31,
1.700,50.002,0.004,0.035,0.000,0.070,-136.70,0.11,0.12,0.00,0.32,
1.800,49.987,0.004,0.035,0.000,0.070,-144.54,0.11,0.12,0.00,0.33,
1.900,50.006,0.004,0.035,0.000,0.071,-152.76,0.12,0.12,0.00,0.33,
2.000,50.006,0.004,0.035,0.000,0.071,-160.82,0.12,0.12,0.00,0.34,
2.100,50.016,0.005,0.035,0.000,0.071,-168.65,0.13,0.12,0.00,0.35,
2.200,49.995,0.005,0.035,0.000,0.071,-176.97,0.13,0.12,0.00,0.36,
2.300,50.034,0.005,0.035,0.000,0.071,175.03,0.13,0.12,0.00,0.36,
2.400,50.013,0.005,0.035,0.000,0.071,167.13,0.14,0.12,0.00,0.37,
2.500,50.010,0.005,0.035,0.000,0.071,159.06,0.14,0.12,0.00,0.38,
2.600,50.007,0.005,0.035,0.000,0.071,151.13,0.15,0.13,0.00,0.39,
2.700,50.046,0.005,0.035,0.000,0.071,143.03,0.15,0.13,0.00,0.40,
2.800,50.039,0.005,0.035,0.000,0.071,134.98,0.16,0.13,0.00,0.40,
2.900,50.018,0.005,0.035,0.000,0.071,127.14,0.16,0.13,0.00,0.41,
3.000,50.010,0.005,0.035,0.000,0.071,118.91,0.17,0.13,0.00,0.42,
3.100,50.028,0.005,0.035,0.000,0.071,110.81,0.17,0.13,0.00,0.43,
3.200,50.017,0.005,0.035,0.000,0.071,102.84,0.17,0.13,0.00,0.44,
3.300,50.023,0.006,0.035,0.000,0.071,94.87,0.18,0.13,0.00,0.44,
3.400,50.047,0.006,0.035,0.000,0.071,86.79,0.18,0.13,0.00,0.45,
3.500,50.022,0.006,0.035,0.000,0.071,78.74,0.19,0.13,0.00,0.46,
3.600,50.025,0.006,0.035,0.000,0.071,70.74,0.19,0.14,0.00,0.47,
3.700,50.030,0.006,0.035,0.000,0.071,62.78,0.20,0.14,0.00,0.48,
3.800,50.046,0.006,0.035,0.000,0.071,54.71,0.20,0.14,0.00,0.49,
3.900,50.036,0.006,0.035,0.000,0.071,46.69,0.21,0.14,0.00,0.50,
4.000,50.051,0.006,0.035,0.000,0.071,38.56,0.21,0.14,0.00,0.50,
4.100,50.028,0.006,0.035,0.000,0.071,30.57,0.22,0.14,0.00,0.51,
4.200,50.020,0.006,0.035,0.000,0.071,22.50,0.22,0.14,0.00,0.52,
4.300,50.051,0.006,0.035,0.000,0.071,14.63,0.22,0.14,0.00,0.53,
4.400,50.050,0.006,0.035,0.000,0.071,6.75,0.23,0.14,0.00,0.54,
4.500,50.030,0.006,0.035,0.000,0.071,-1.37,0.23,0.14,0.00,0.55,
4.600,50.026,0.006,0.035,0.000,0.071,-9.35,0.24,0.15,0.00,0.56,
4.700,50.058,0.006,0.035,0.000,0.072,-17.49,0.24,0.15,0.00,0.57,
4.800,50.048,0.007,0.035,0.000,0.072,-25.45,0.25,0.15,0.00,0.58,
4.900,50.054,0.007,0.035,0.000,0.072,-33.48,0.25,0.15,0.00,0.58,
5.000,50.039,0.007,0.035,0.000,0.071,-41.70,0.26,0.15,0.00,0.59,
5.100,50.041,0.007,0.035,0.000,0.072,-49.49,0.26,0.15,0.00,0.60,
5.200,50.044,0.007,0.035,0.000,0.072,-57.55,0.27,0.15,0.00,0.61,
